Id,SalePrice
1461,149877.58989463522
1462,170865.36718423045
1463,200214.79910893686
1464,200687.89050675297
1465,195921.34331614003
1466,194125.48017021274
1467,175137.97764268183
1468,163094.02537509054
1469,188467.45619940956
1470,162373.322527977
1471,215165.6717173738
1472,142297.19215133766
1473,142364.75652796854
1474,169672.07136179708
1475,122356.12265391723
1476,387808.23991094925
1477,240692.531790019
1478,307724.18669548794
1479,283417.61008690187
1480,420290.37637676345
1481,329055.56312286074
1482,208622.49964386795
1483,179856.99809450138
1484,167587.5661079537
1485,179325.04789815738
1486,204294.209243525
1487,303370.14098786114
1488,226934.03397354617
1489,192871.04715182458
1490,242181.44827489663
1491,198452.47027903656
1492,121346.85480331034
1493,182820.4047101358
1494,295637.1750722834
1495,302955.8237605039
1496,233683.5793471965
1497,194452.69020157267
1498,163490.0960508874
1499,158631.04304048786
1500,166596.44502685865
1501,184313.7525607053
1502,159996.68867074858
1503,326529.2723504259
1504,258959.0282720259
1505,228260.79756852507
1506,207574.51872008626
1507,271968.29918519664
1508,220914.0987499446
1509,178305.2263115742
1510,163699.84043121015
1511,157402.6707351201
1512,197909.57772721013
1513,175861.07770967548
1514,214130.70400087035
1515,248129.7613157245
1516,184700.97056386233
1517,168864.76168455044
1518,181589.1101263551
1519,232249.47785981727
1520,143635.9419929095
1521,143178.46401017503
1522,184691.32828301156
1523,125512.18700184002
1524,152856.44657172463
1525,132939.8543943652
1526,136389.7287358929
1527,139852.4282757516
1528,143320.65538279852
1529,151483.68889312228
1530,194968.01720773257
1531,180534.1641929279
1532,136777.35503564612
1533,179307.3489460795
1534,134921.50917395332
1535,176444.40663048215
1536,134081.4606059729
1537,150480.6378613615
1538,165658.5838534203
1539,264100.6279706875
1540,206325.64192129445
1541,174327.49554355213
1542,161343.08965748496
1543,208215.81589138298
1544,142736.42582076925
1545,133202.57488422949
1546,156987.9744944753
1547,161561.91544762917
1548,152856.02731726458
1549,154515.3707220919
1550,172303.22633546634
1551,152998.0600159867
1552,205563.52221113545
1553,152589.73110136949
1554,123595.04907003598
1555,189355.85208546132
1556,133156.78035798928
1557,164368.6817144218
1558,142986.42418849765
1559,172167.19990007486
1560,193687.56567802606
1561,198301.16218329206
1562,148701.03196587955
1563,148308.69229887426
1564,191069.89283688998
1565,167454.50753082865
1566,204774.30912812025
1567,131177.70009286053
1568,247520.54343081833
1569,184246.9575828126
1570,140474.58703439747
1571,148628.18225480636
1572,147517.2392019773
1573,230125.1766190979
1574,150367.68929035345
1575,227814.88844922188
1576,240401.83722142933
1577,192130.2546908083
1578,156462.97946459404
1579,163330.9338288156
1580,197159.40599868135
1581,137628.04138405362
1582,148934.35617402743
1583,361902.9088347287
1584,239468.06914924292
1585,175776.67703647882
1586,127789.26575382316
1587,124467.8388594027
1588,148649.63378217444
1589,141441.00116072936
1590,138847.21032476705
1591,116732.04585593386
1592,166543.4363336405
1593,150098.8702422625
1594,210626.66893804722
1595,140927.07861116153
1596,222734.588592616
1597,213408.30614620502
1598,191724.55188100258
1599,191911.2388493763
1600,187995.59817354375
1601,135542.60493204033
1602,140381.64136923026
1603,127571.79548505599
1604,288417.7582204715
1605,261308.14374396065
1606,178330.4938295526
1607,257166.22968926138
1608,203094.64531581005
1609,188380.79137276215
1610,161025.26031483102
1611,146250.99191946848
1612,191082.14108697764
1613,179468.84913335278
1614,148969.20640730707
1615,138524.10203294162
1616,117267.7754252289
1617,132261.91068439983
1618,136666.35454250858
1619,159806.0525896227
1620,234996.05393973185
1621,160811.55498143187
1622,155468.47337004062
1623,286563.56935942936
1624,240144.00010621618
1625,147689.61987808766
1626,186655.44323618137
1627,192215.5987043993
1628,299785.39132737333
1629,184823.43201080986
1630,377903.4242904302
1631,216010.02408088106
1632,254692.51637676335
1633,172872.79585928938
1634,195765.39838042023
1635,176128.49742299013
1636,157731.6908594211
1637,220398.1086866784
1638,243276.35165548668
1639,210321.62609289397
1640,289231.21635866654
1641,202971.65475166542
1642,242212.6162412843
1643,234693.97579883254
1644,246397.9486266299
1645,220080.07650419863
1646,161735.2916491699
1647,156697.04721462989
1648,137763.87930451726
1649,144088.56629856452
1650,169942.80872349732
1651,161525.28206398818
1652,139164.6931595287
1653,137977.9836495473
1654,161886.31172295666
1655,151894.4816735153
1656,157889.55056613658
1657,162101.3515694654
1658,161541.94845879945
1659,142424.92145973616
1660,167934.06021051982
1661,415230.7996163078
1662,395745.3044411293
1663,382033.0119984298
1664,412482.1271306617
1665,333612.76860757044
1666,306000.48278685845
1667,372825.5092304317
1668,337097.43771273067
1669,293217.6307948936
1670,361545.6274705875
1671,273543.2070711622
1672,468018.61037921184
1673,286580.07718794566
1674,236515.18992606152
